Customer Name,Periode,Sales Doc,Sales Item,Material No,Material Desc, Sales Qty , Total Amount 
PT. HJT,January 2022,2100001346,10,RBMF-0000000013,IWF-JIS G 3101 SS 400 200x100x12000, 50 ," 203,799 "
PT. IPM,January 2022,2100000592,50,CPLF-0000000019,CPLF-ASTM A 36 11.7x1200x2400, 72 ," 296,738 "
PT. IPM,January 2022,2100000592,90,CPLF-0000000025,CPLF-ASTM A 36 7.7x1500x6000, 43 ," 363,799 "
PT. BBM,January 2022,2100000682,70,CPLF,Finished Coil Plate, 105 ," 1,025,843 "
PT. WKI,January 2022,2100000634,10,WBMF-0000000002,WB-JIS G 3101 SS 400 700x300x13x24x12000, 6 ," 241,377 "
OSP,January 2022,2900000042,70,PLTF,Finished Baby Plate, 7 , 19 
PT. HJT,January 2022,2100000493,10,CPLF-0000000011,CPLF-ASTM A 36 4.8x1200x2400, 7 ," 12,245 "
PT. HJT,January 2022,2100000798,10,RBMF-0000000020,HB-JIS G 3101 SS 400 250x250x12000, 3 ," 47,475 "
PT. HJT,January 2022,2100000846,40,RBMF-0000000013,IWF-JIS G 3101 SS 400 200x100x12000, 181 ," 741,075 "
O&C,January 2022,2900000090,730,WBMF,Finished Welded Beam, 1 , 2 
O&C,January 2022,2900000090,1040,WBMF,Finished Welded Beam, 4 , 2 
OSP,January 2022,2900000106,20,WBMF,Finished Welded Beam, 7 , 26 
O&C,January 2022,2900000105,290,WBMF,Finished Welded Beam, 1 , 4 
PT. HJT,January 2022,2100000816,50,RBFF,Finished Rolled Beam Fabricated, 1 ," 7,797 "
CV. MM,January 2022,2100000679,20,CPLF-0000000006,CPLF-ASTM A 36 3x1200x2400, 280 ," 271,965 "
FSC,January 2022,1200000000,860,WBMF,Finished Welded Beam, 20 , - 
PT. BAS,January 2022,2100001121,30,CPLF,Finished Coil Plate," 1,120 "," 1,104,659 "
FSC,January 2022,1200000022,2950,PLTF,Finished Baby Plate," 17,073 ", - 
PT. HJT,January 2022,2100000929,20,RBMF-0000000020,HB-JIS G 3101 SS 400 250x250x12000, 60 ," 955,823 "
PT. HJT,January 2022,2100000429,20,HRCF,Finished Hot Rolled Coil," 56,060 "," 874,644 "
FSC,January 2022,1200000015,1620,PLTF,Finished Baby Plate," 87,408 ", - 
PSC,January 2022,1000000016,30,PLTF,Finished Baby Plate, 2 ," 135,640 "
FSC,January 2022,1200000002,10,CPLF,Finished Coil Plate, 2 , - 
FSC,January 2022,1200000022,2750,PLTF,Finished Baby Plate," 10,500 ", - 
PT. HJT,January 2022,2100000971,50,RBMF-0000000009,IWF-JIS G 3101 SS 400 300x150x12000, 4 ," 31,449 "
PT. BBM,January 2022,2100000682,50,CPLF,Finished Coil Plate, 271 ," 2,108,174 "
FSC,January 2022,1200000000,210,RBFF,Finished Rolled Beam Fabricated, 2 , - 
PT. IPM,January 2022,2100000592,20,CPLF-0000000010,CPLF-ASTM A 36 4.7x1200x2400, 180 ," 301,999 "
PT. HJT,January 2022,2100001068,10,RBFF,Finished Rolled Beam Fabricated, 6 ," 10,334 "
FSC,January 2022,1200000019,2120,PLTF,Finished Baby Plate," 49,240 ", - 
FSC,January 2022,1200000019,2030,PLTF,Finished Baby Plate," 4,950 ", - 
ATP,January 2022,2900000040,90,PLTF,Finished Baby Plate, 20 , 19 
PT. PNS,January 2022,2100000605,10,PLTF,Finished Baby Plate, 10 ," 377,420 "
PT. HJT,January 2022,2100001328,150,RBMF-0000000005,IWF-JIS G 3101 SS 400 400x200x12000, 16 ," 218,045 "
PSC,January 2022,1000000068,100,PLTF,Finished Baby Plate, 6 ," 264,696 "
FSC,January 2022,1200000002,130,CPLF,Finished Coil Plate, 2 , - 
FSC,January 2022,1200000025,90,CPLF,Finished Coil Plate," 90,540 ", - 
FSC,January 2022,1200000026,250,HRCF,Finished Hot Rolled Coil," 37,640 ", - 
TCP,January 2022,2900000056,110,WBMF,Finished Welded Beam, 1 , 1 
PT. IB,January 2022,2100000876,180,CPLF,Finished Coil Plate, 250 ," 1,927,098 "
PT. HJT,January 2022,2100000798,50,RBMF-0000000005,IWF-JIS G 3101 SS 400 400x200x12000, 2 ," 28,671 "
PT. HJT,January 2022,2100000941,10,RBMF-0000000001,IWF-JIS G 3101 SS 400 600x200x12000, 36 ," 884,405 "
FSC,January 2022,1200000004,390,HRCF,Finished Hot Rolled Coil, 3 , - 
O&C,January 2022,2900000037,750,WBMF,Finished Welded Beam, 4 , 5 
SPM,January 2022,1200000005,10,SWPF,Finished Spiral Welded Pipe, 1 , - 
PSC,January 2022,1000000036,10,PLTF,Finished Baby Plate, 4 ," 49,757 "
CAM,January 2022,1000000049,30,CTSF,Finished Plate Cut to Shape, 10 , 639 
PT. HJT,January 2022,2100000465,50,CPLF,Finished Coil Plate, 5 ," 7,867 "
ATP,January 2022,2900000080,40,CRCF,Finished Cold Rolled Coil," 59,625 ", 61 
PT. HJT,January 2022,2100001390,10,RBMF-0000000019,HB-JIS G 3101 SS 400 300x300x12000, 16 ," 283,674 "
PT. HJT,January 2022,2100001422,20,RBMF-0000000013,IWF-JIS G 3101 SS 400 200x100x12000, 7 ," 28,532 "
PT. JGA,January 2022,2100000936,10,WBMF-0000000001,WB-JIS G 3101 SS 400 400x400x13x21x12000, 2 ," 75,493 "
CV. A,January 2022,2100001118,20,EPBF-0000000040,"JIS G 3445 STKM 11A 2""(60.3)x3.4x6000", 100 ," 49,895 "
PT. PAS,January 2022,2100000836,30,CNPF-0000000009,CNP-JIS G 3131 SPHC 125x50x20x2.2x6000, 100 ," 43,342 "
PT. HJT,January 2022,2100000426,60,CPLF,Finished Coil Plate, 8 ," 16,686 "
PT. ADP,January 2022,2100000557,10,CPLF,Finished Coil Plate," 2,334 "," 1,582,485 "
FSC,January 2022,1200000015,1470,PLTF,Finished Baby Plate," 4,375 ", - 
OSP,January 2022,2900000067,70,PLTF,Finished Baby Plate, 8 , 21 
CV. LBS,January 2022,2100000671,20,PLTF,Finished Baby Plate, 6 ," 237,374 "
PT. HJT,January 2022,2100000431,10,HRCF-0000000105,HRCF-JIS G 3131 SPHC 2x1200," 150,000 "," 2,364,281 "
PT. ADP,January 2022,2100000559,10,CPLF,Finished Coil Plate, 209 ," 842,685 "
PT. HJT,January 2022,2100000923,10,RBFF,Finished Rolled Beam Fabricated, 16 ," 81,451 "
PT. HJT,January 2022,2100000562,110,CPLF,Finished Coil Plate, 55 ," 419,613 "
FSC,January 2022,1200000015,780,PLTF,Finished Baby Plate," 12,264 ", - 
PT. HJT,January 2022,2100000460,30,RBMF-0000000020,HB-JIS G 3101 SS 400 250x250x12000, 30 ," 445,706 "
PT. HJT,January 2022,2100001331,70,RBFF,Finished Rolled Beam Fabricated, 114 ," 321,955 "
PT. CAM,January 2022,2100001082,60,CNPF-0000000014,CNP-JIS G 3131 SPHC 125x50x20x3x6000, 480 ," 271,742 "
PT. IB,January 2022,2100000871,150,CPLF,Finished Coil Plate, 195 ," 1,499,852 "
O&C,January 2022,2900000035,10,PLTF,Finished Baby Plate, 47 , 46 
PT. IB,January 2022,2100001428,130,EPBF-0000000032,"JIS G 3445 STKM 11A 11/2""(48.3)x3.2x6000", 455 ," 150,543 "
PT. SRM,January 2022,2100001301,20,CPLF,Finished Coil Plate, 113 ," 660,518 "
O&C,January 2022,2900000105,80,WBMF,Finished Welded Beam, 1 , 2 
PT. JKA,January 2022,2100000571,20,CNPF,Finished Lipped Channel, 315 ," 208,486 "
PT. HJT,January 2022,2100000570,10,CPLF,Finished Coil Plate, 107 ," 786,564 "
FSC,January 2022,1200000015,1250,PLTF,Finished Baby Plate," 4,122 ", - 
PT. HJT,January 2022,2100000430,40,HRCF-0000000105,HRCF-JIS G 3131 SPHC 2x1200," 313,030 "," 4,933,938 "
OSP,January 2022,2900000029,30,WBMF,Finished Welded Beam, 1 , 1 
PT. BBM,January 2022,2100000583,50,CPLF,Finished Coil Plate, 28 ," 360,602 "
PT. HJT,January 2022,2100001369,30,RBFF,Finished Rolled Beam Fabricated, 1 ," 1,338 "
PT. HJT,January 2022,2100001250,20,RBMF-0000000020,HB-JIS G 3101 SS 400 250x250x12000, 10 ," 154,655 "
FSC,January 2022,1200000026,10,HRCF,Finished Hot Rolled Coil," 90,660 ", - 
PT. HJT,January 2022,2100000548,90,CPLF,Finished Coil Plate, 431 ," 1,570,620 "
PT. HJT,January 2022,2100001244,10,RBMF-0000000021,HB-JIS G 3101 SS 400 200x200x12000, 2 ," 19,292 "
PT. HJT,January 2022,2100001066,30,RBMF-0000000019,HB-JIS G 3101 SS 400 300x300x12000, 3 ," 61,624 "
FSC,January 2022,1000000077,30,HRCF,Finished Hot Rolled Coil, 500 ," 5,944,636 "
PSC,January 2022,1000000060,30,PLTF,Finished Baby Plate, 1 ," 90,754 "
FSC,January 2022,1200000008,10,WBMF,Finished Welded Beam," 1,451,240 ", - 
PT. IPM,January 2022,2100000641,20,CPLF-0000000014,CPLF-ASTM A 36 7.7x1200x2400, 110 ," 295,560 "
FSC,January 2022,1200000015,1600,PLTF,Finished Baby Plate," 41,706 ", - 
PT. HJT,January 2022,2100000332,10,RBMF-0000000021,HB-JIS G 3101 SS 400 200x200x12000, 4 ," 40,990 "
FSC,January 2022,1200000015,1900,PLTF,Finished Baby Plate," 4,112 ", - 
PT. HJT,January 2022,2100000371,30,EPBF-0000000013,"JIS G 3445 STKM 11A 1""(33.4)x2.5x6000"," 1,000 "," 148,023 "
PT. HJT,January 2022,2100000905,80,RBFF,Finished Rolled Beam Fabricated, 13 ," 4,147 "
O&C,January 2022,2900000090,100,WBMF,Finished Welded Beam, 6 , 18 
PT. HJT,January 2022,2100000548,210,PLTF,Finished Baby Plate, 22 ," 165,863 "
PT. HJT,January 2022,2100001242,20,RBMF-0000000004,IWF-JIS G 3101 SS 400 450x200x12000, 16 ," 260,739 "
PT. HJT,January 2022,2100001398,90,RBFF,Finished Rolled Beam Fabricated, 52 ," 261,016 "
PT. BBM,January 2022,2100000684,50,PLTF,Finished Baby Plate, 122 ," 2,437,973 "
FS,January 2022,1000000017,320,CTSF,Finished Plate Cut to Shape, 4 , 828 
PT. ADP,January 2022,2100000463,20,HRCF,Finished Hot Rolled Coil," 28,000 "," 435,635 "
PT. TJI,January 2022,2100000669,90,CPLF,Finished Coil Plate, 221 ," 564,970 "
ATP,January 2022,2900000093,120,PLTF,Finished Baby Plate, 84 , 377 
PT. HJT,January 2022,2100001320,50,RBMF-0000000005,IWF-JIS G 3101 SS 400 400x200x12000, 10 ," 140,078 "
FSC,January 2022,1200000025,80,CPLF,Finished Coil Plate," 18,444 ", - 
PT. IB,January 2022,2100000876,80,CPLF,Finished Coil Plate," 3,000 "," 2,037,020 "
FSC,January 2022,1200000025,120,CPLF,Finished Coil Plate," 17,301 ", - 
FSC,January 2022,1200000002,110,CPLF,Finished Coil Plate, 1 , - 
O&C,January 2022,2900000105,160,WBMF,Finished Welded Beam, 1 , 2 
PT. HJT,January 2022,2100000653,40,RBMF-0000000005,IWF-JIS G 3101 SS 400 400x200x12000, 15 ," 217,979 "
FSC,January 2022,1200000022,2990,PLTF,Finished Baby Plate," 19,694 ", - 
PT. HJT,January 2022,2100000929,70,RBMF-0000000011,IWF-JIS G 3101 SS 400 250x125x12000, 4 ," 23,369 "
PT. HJT,January 2022,2100000409,20,RBMF-0000000004,IWF-JIS G 3101 SS 400 450x200x12000, 55 , - 
FSC,January 2022,1200000000,710,RBFF,Finished Rolled Beam Fabricated, 23 , - 
TCP,January 2022,2900000078,50,PLTF,Finished Baby Plate, 4 , 13 
PT. BBM,January 2022,2100000681,80,PLTF,Finished Baby Plate, 14 ," 145,042 "
PT. HJT,January 2022,2100001296,40,RBMF-0000000018,HB-JIS G 3101 SS 400 350x350x12000, 23 ," 654,794 "
PT. HJT,January 2022,2100001153,20,RBMF-0000000018,HB-JIS G 3101 SS 400 350x350x12000, 10 ," 293,760 "
PT. HJT,January 2022,2100000519,40,CPLF-0000000023,CPLF-ASTM A 36 5.7x1500x6000, 10 ," 64,898 "
FSC,January 2022,1200000015,1780,PLTF,Finished Baby Plate," 53,053 ", - 
PT. HJT,January 2022,2100001013,80,RBFF,Finished Rolled Beam Fabricated, 1 ," 2,900 "
PT. HJT,January 2022,2100001373,60,RBMF-0000000007,IWF-JIS G 3101 SS 400 350x175x12000, 42 ," 410,979 "
PT. HJT,January 2022,2100000801,60,RBMF-0000000005,IWF-JIS G 3101 SS 400 400x200x12000, 14 ," 200,695 "
PT. HJT,January 2022,2100000517,30,CPLF,Finished Coil Plate, 23 ," 33,335 "
CV. TSK,January 2022,2100001391,110,PLTF,Finished Baby Plate, 20 ," 381,704 "
FSC,January 2022,1200000006,2220,PLTF,Finished Baby Plate," 8,548 ", - 
O&C,January 2022,2900000037,460,WBMF,Finished Welded Beam, 2 , 2 
PT. HJT,January 2022,2100001306,50,RBMF-0000000009,IWF-JIS G 3101 SS 400 300x150x12000, 5 ," 36,181 "
PT. HJT,January 2022,2100000823,20,RBFF,Finished Rolled Beam Fabricated, 2 ," 5,838 "
FS,January 2022,1000000017,440,CTSF,Finished Plate Cut to Shape, 131 ," 2,524 "
PT. ADP,January 2022,2100000198,30,CPLF,Finished Coil Plate, 864 ," 847,935 "
ATP,January 2022,2900000040,140,PLTF,Finished Baby Plate, 84 , 79 
O&C,January 2022,2900000037,700,WBMF,Finished Welded Beam, 3 , 3 
PT. HJT,January 2022,2100000384,10,EPBF-0000000077,"JIS G 3445 STKM 11A 4""(114.3)x3.2x6000", 313 ," 257,997 "
PT. HJT,January 2022,2100001262,30,RBMF-0000000011,IWF-JIS G 3101 SS 400 250x125x12000, 30 ," 169,567 "
PSC,January 2022,1000000065,110,PLTF,Finished Baby Plate, 1 ," 78,483 "
FSC,January 2022,1200000028,1870,BSBS,SFG - Baby Slab," 3,383 ", - 
KBA,January 2022,2100001407,20,CNPF-0000000010,CNP-JIS G 3131 SPHC 125x50x20x2.3x6000, 40 ," 18,147 "
PT. HJT,January 2022,2100001057,30,RBMF-0000000007,IWF-JIS G 3101 SS 400 350x175x12000, 31 ," 318,091 "
FS,January 2022,1000000017,280,CTSF,Finished Plate Cut to Shape, 1 , 312 
PT. HJT,January 2022,2100001409,50,RBFF,Finished Rolled Beam Fabricated, 100 ," 203,799 "
TCP,January 2022,2900000054,160,PLTF,Finished Baby Plate, 4 , 11 
CRM,January 2022,1000000076,10,CRGF,Finished CRC Galvanized, 6 , - 
FS,January 2022,1000000046,160,RBFF,Finished Rolled Beam Fabricated, 2 ," 7,957 "
PT. HJT,January 2022,2100001410,30,UL-RBMF-0000002,IWF-JIS G 3101 SS 400 150x75x12000-UL, 100 ," 282,125 "
PT. HJT,January 2022,2100001353,10,RBMF-0000000020,HB-JIS G 3101 SS 400 250x250x12000, 4 ," 62,878 "
PT. HJT,January 2022,2100000613,10,RBMF-0000000013,IWF-JIS G 3101 SS 400 200x100x12000, 50 ," 209,941 "
PT. HJT,January 2022,2100000830,20,RBFF,Finished Rolled Beam Fabricated, 1 ," 2,431 "
PT. PAS,January 2022,2100000751,10,CNPF,Finished Lipped Channel, 10 ," 5,581 "
FSC,January 2022,1200000004,810,PLTF,Finished Baby Plate, 3 , - 
PT. HJT,January 2022,2100000749,20,RBMF-0000000019,HB-JIS G 3101 SS 400 300x300x12000, 9 ," 187,001 "
PT. PNS,January 2022,2100000904,20,PLTF,Finished Baby Plate, 12 ," 394,201 "
PT. SS,January 2022,2100000644,10,PLTF,Finished Baby Plate, 24 ," 878,759 "
PT. HJT,January 2022,2100000536,10,EGMF-1000000002,EGM-JIS G 3131 SPHC 50105x5x2400, 7 ," 9,389 "
FSC,January 2022,1200000028,2090,BSBS,SFG - Baby Slab," 9,675 ", - 
FSC,January 2022,1200000014,250,CPLF,Finished Coil Plate," 2,070 ", - 
PT. ADP,January 2022,2100000395,30,HRCF,Finished Hot Rolled Coil," 3,240 "," 49,896 "
PT. IB,January 2022,2100000288,100,CPLF,Finished Coil Plate, 147 ," 294,408 "
PT. HJT,January 2022,2100001063,40,RBFF,Finished Rolled Beam Fabricated, 10 ," 13,722 "
FSC,January 2022,1200000022,2510,PLTF,Finished Baby Plate," 78,561 ", - 
PT. HJT,January 2022,2100000426,10,CPLF,Finished Coil Plate, 17 ," 18,929 "
OSP,January 2022,2900000106,430,WBMF,Finished Welded Beam, 4 , 11 
PT. HJT,January 2022,2700000002,20,RBMF-0000000013,IWF-JIS G 3101 SS 400 200x100x12000, 1 ," 3,925 "
PT. SS,January 2022,2100000223,10,CPLF,Finished Coil Plate, 143 ," 954,087 "
PT. HJT,January 2022,2100000863,10,RBFF,Finished Rolled Beam Fabricated, 4 ," 2,458 "
PT. HJT,January 2022,2100000400,10,HRCF,Finished Hot Rolled Coil," 32,550 "," 477,182 "
CV. LBS,January 2022,2100000671,60,PLTF,Finished Baby Plate, 14 ," 1,297,151 "
PT. TJ,January 2022,2100000689,120,PLTF,Finished Baby Plate, 60 ," 1,206,806 "
OSP,January 2022,2900000053,30,PLTF,Finished Baby Plate, 24 , 22 
PT. BBM,January 2022,2100000616,10,CPLF,Finished Coil Plate, 72 ," 284,111 "
O&C,January 2022,2900000037,60,WBMF,Finished Welded Beam, 2 , 2 
PT. HJT,January 2022,2100001136,30,RBMF-0000000011,IWF-JIS G 3101 SS 400 250x125x12000, 3 ," 16,810 "
PT. HJT,January 2022,2100000525,50,CPLF-0000000013,CPLF-ASTM A 36 5.8x1200x2400, 91 ," 191,316 "
FSC,January 2022,1200000019,2070,PLTF,Finished Baby Plate," 5,538 ", - 
FS,January 2022,1000000059,220,CTSF,Finished Plate Cut to Shape, 8 , 831 
PT. SPA,January 2022,2100000302,40,CRCF,Finished Cold Rolled Coil," 52,180 "," 851,807 "
PT. HJT,January 2022,2100001254,10,RBMF-0000000002,IWF-JIS G 3101 SS 400 588x300x12000, 3 ," 92,937 "
PT. ADP,January 2022,2100001321,10,CPLF,Finished Coil Plate, 98 ," 483,215 "
OSP,January 2022,2900000042,80,PLTF,Finished Baby Plate, 10 , 29 
PT. HJT,January 2022,2100000330,30,RBMF-0000000014,IWF-JIS G 3101 SS 400 198x99x12000, 19 ," 71,271 "
PSC,January 2022,1000000066,150,PLTF,Finished Baby Plate, 2 ," 100,855 "
PT. HJT,January 2022,2100001092,10,UL-RBMF-0000004,HB-JIS G 3101 SS 400 125x125x12000-UL, 2 ," 9,627 "
PT. HJT,January 2022,2100001062,10,RBMF-0000000009,IWF-JIS G 3101 SS 400 300x150x12000, 12 ," 83,863 "
PT. HJT,January 2022,2100001172,300,RBFF,Finished Rolled Beam Fabricated, 1 ," 7,521 "
PT. HJT,January 2022,2100000947,20,RBMF-0000000019,HB-JIS G 3101 SS 400 300x300x12000, 10 ," 204,668 "
FSC,January 2022,1200000026,280,HRCF,Finished Hot Rolled Coil," 14,390 ", - 
PT. HJT,January 2022,2100000134,20,HRCF-0000000247,HRCF-JIS G 3131 SPHC 4x1200," 60,000 "," 988,994 "
PT. HJT,January 2022,2100000454,60,UL-RBMF-0000002,IWF-JIS G 3101 SS 400 150x75x12000-UL, 4 ," 10,229 "
PT. HJT,January 2022,2100000846,30,RBMF-0000000018,HB-JIS G 3101 SS 400 350x350x12000, 2 ," 58,752 "
FSC,January 2022,1200000022,2970,PLTF,Finished Baby Plate," 48,521 ", - 
FSC,January 2022,1200000001,90,CRCF,Finished Cold Rolled Coil," 637,445 ", - 
PT. HJT,January 2022,2100001255,30,UL-RBMF-0000002,IWF-JIS G 3101 SS 400 150x75x12000-UL, 11 ," 30,188 "
PT. HJT,January 2022,2100001328,130,RBMF-0000000009,IWF-JIS G 3101 SS 400 300x150x12000, 9 ," 63,771 "
PT. IB,January 2022,2100001309,10,CPLF,Finished Coil Plate, 998 ," 676,163 "
PT. HJT,January 2022,2100000485,50,RHCF,Finished Rolled Honey Comb, 5 ," 77,290 "
PT. HJT,January 2022,2100000939,80,RBMF-0000000011,IWF-JIS G 3101 SS 400 250x125x12000, 13 ," 73,810 "
PT. HJT,January 2022,2100000550,40,WBMF,Finished Welded Beam, 12 ," 1,055,829 "
PSC,January 2022,1000000065,30,PLTF,Finished Baby Plate, 1 ," 38,585 "
FSC,January 2022,1200000006,1140,PLTF,Finished Baby Plate, 996 , - 
PSC,January 2022,1000000043,10,PLTF,Finished Baby Plate, 5 ," 64,678 "
PT. HJT,January 2022,2100000969,30,RBMF-0000000003,IWF-JIS G 3101 SS 400 500x200x12000, 2 ," 39,153 "
ATP,January 2022,2900000012,180,PLTF,Finished Baby Plate, 37 , 180 
OSP,January 2022,2900000097,20,WBMF,Finished Welded Beam, 3 , 6 
PT. HJT,January 2022,2100000707,10,UL-RBMF-0000003,HB-JIS G 3101 SS 400 150x150x12000-UL, 8 ," 53,320 "
PT. HJT,January 2022,2100001046,20,RBMF-0000000013,IWF-JIS G 3101 SS 400 200x100x12000, 35 ," 147,502 "
FSC,January 2022,1200000028,2150,BSBS,SFG - Baby Slab," 9,174 ", - 
PT. HJT,January 2022,2100000914,30,RBMF-0000000007,IWF-JIS G 3101 SS 400 350x175x12000, 60 ," 606,801 "
FSC,January 2022,1200000015,1220,PLTF,Finished Baby Plate," 8,400 ", - 
FSC,January 2022,1200000015,1680,PLTF,Finished Baby Plate," 24,567 ", - 
FS,January 2022,1000000017,130,CTSF,Finished Plate Cut to Shape, 1 , 224 
FSC,January 2022,1200000020,350,EACF,Equal Angle Cold Form - FSC," 2,259 ", - 
OSP,January 2022,2900000106,640,WBMF,Finished Welded Beam, 3 , 6 
PT. HJT,January 2022,2100001380,20,RBMF-0000000002,IWF-JIS G 3101 SS 400 588x300x12000, 1 ," 31,998 "
FS,January 2022,1000000017,270,CTSF,Finished Plate Cut to Shape, 1 , 195 
CV. MM,January 2022,2100000679,50,CPLF-0000000013,CPLF-ASTM A 36 5.8x1200x2400, 146 ," 273,193 "
PT. HJT,January 2022,2100000756,30,RBMF-0000000011,IWF-JIS G 3101 SS 400 250x125x12000, 20 ," 116,765 "
FSC,January 2022,1200000015,1240,PLTF,Finished Baby Plate," 4,609 ", - 
PT. PH,January 2022,2100001280,10,CPLF,Finished Coil Plate, 219 ," 795,785 "
PT. SSJ,January 2022,2100000577,20,WBMF,Finished Welded Beam, 14 ," 2,026,633 "
PT. B,January 2022,2100001282,20,PLTF,Finished Baby Plate, 2 ," 208,370 "
PT. HJT,January 2022,2100000438,10,CPLF-0000000001,CPLF-ASTM A 36 2x1200x2400, 789 ," 562,484 "
PT. ADP,January 2022,2100001318,10,CPLF,Finished Coil Plate, 935 ," 787,628 "
PT. HJT,January 2022,2100000795,140,RBMF-0000000003,IWF-JIS G 3101 SS 400 500x200x12000, 24 ," 473,104 "
FSC,January 2022,1200000022,2820,PLTF,Finished Baby Plate," 10,500 ", - 
TCP,January 2022,2900000078,130,PLTF,Finished Baby Plate, 2 , 5 
PT. IB,January 2022,2100001421,290,EPBF-0000000037,"JIS G 3445 STKM 11A 2""(60.3)x2.8x6000", 122 ," 45,035 "
PT. PNS,January 2022,2100001313,20,PLTF,Finished Baby Plate, 30 ," 303,076 "
PT. HJT,January 2022,2100000548,260,CPLF,Finished Coil Plate, 1 ," 11,764 "
PT. SS,January 2022,2100001170,50,CNPF-0000000001,CNP-JIS G 3131 SPHC 100x50x20x2x6000, 500 ," 182,119 "
FS,January 2022,1000000017,240,CTSF,Finished Plate Cut to Shape, 79 ," 1,505 "
PT. HJT,January 2022,2100000439,20,EPBF-0000000077,"JIS G 3445 STKM 11A 4""(114.3)x3.2x6000", 645 ," 575,017 "
PT. HJT,January 2022,2100001222,10,RBMF-0000000018,HB-JIS G 3101 SS 400 350x350x12000, 16 ," 470,596 "
CV. LBS,January 2022,2100000671,50,PLTF,Finished Baby Plate, 14 ," 904,006 "
O&C,January 2022,2900000037,170,WBMF,Finished Welded Beam, 1 , 1 
PT. HJT,January 2022,2100000484,60,RHCF,Finished Rolled Honey Comb, 9 ," 58,288 "
OSP,January 2022,2900000067,80,PLTF,Finished Baby Plate, 11 , 32 
PT. HJT,January 2022,2100000869,10,RBMF-0000000020,HB-JIS G 3101 SS 400 250x250x12000, 10 ," 158,250 "
FSC,January 2022,1200000004,1000,PLTF,Finished Baby Plate, 2 , - 
PT. GA,January 2022,2100000612,70,CPLF-0000000013,CPLF-ASTM A 36 5.8x1200x2400, 870 ," 1,910,775 "
PT. HJT,January 2022,2100001231,60,RBMF-0000000011,IWF-JIS G 3101 SS 400 250x125x12000, 15 ," 84,049 "
PT. HJT,January 2022,2100000784,50,RBMF-0000000007,IWF-JIS G 3101 SS 400 350x175x12000, 40 ," 404,534 "
SMS,January 2022,1000000052,20,FABF,Finished Fabrication, 8 ," 15,719 "
PT. HJT,January 2022,2100000929,80,RBMF-0000000009,IWF-JIS G 3101 SS 400 300x150x12000, 11 ," 82,854 "
PT. HJT,January 2022,2100000811,10,RBMF-0000000011,IWF-JIS G 3101 SS 400 250x125x12000, 22 ," 127,580 "
PT. HJT,January 2022,2100000894,90,UL-RBMF-0000002,IWF-JIS G 3101 SS 400 150x75x12000-UL, 80 ," 220,438 "
FSC,January 2022,1200000006,690,PLTF,Finished Baby Plate, 558 , - 
PT. HJT,January 2022,2100000398,50,EPBF-0000000065,"JIS G 3445 STKM 11A 3""(88.9)x3x6000"," 1,015 "," 599,852 "
PT. HJT,January 2022,2100000752,90,RBMF-0000000005,IWF-JIS G 3101 SS 400 400x200x12000, 1 ," 14,431 "
CV. SDL,January 2022,2100000565,20,CPLF-0000000006,CPLF-ASTM A 36 3x1200x2400, 280 ," 312,917 "
PT. HJT,January 2022,2100000847,40,RBMF-0000000003,IWF-JIS G 3101 SS 400 500x200x12000, 6 ," 117,458 "
PT. HJT,January 2022,2100001226,60,UL-RBMF-0000002,IWF-JIS G 3101 SS 400 150x75x12000-UL, 50 ," 141,063 "
OSP,January 2022,2900000106,580,WBMF,Finished Welded Beam, 4 , 13 
PT. HJT,January 2022,2100000343,10,RTBF,Finished Rolled T-Beam, 320 ," 247,477 "
PT. GC,January 2022,2100000640,10,PLTF,Finished Baby Plate, 6 ," 232,440 "
PT. HJT,January 2022,2100000376,30,CPLF-0000000005,CPLF-ASTM A 36 2.8x1200x2400, 87 ," 79,910 "
PSC,January 2022,1000000063,60,CTSF,Finished Plate Cut to Shape, 15 , 883 
PT. HJT,January 2022,2100000562,160,PLTF,Finished Baby Plate, 15 ," 379,468 "
PT. IPM,January 2022,2100000641,10,CPLF-0000000001,CPLF-ASTM A 36 2x1200x2400, 340 ," 243,013 "
PT. HJT,January 2022,2100001331,90,RBMF-0000000007,IWF-JIS G 3101 SS 400 350x175x12000, 8 ," 78,885 "
FSC,January 2022,1200000006,2200,PLTF,Finished Baby Plate," 6,244 ", - 
PT. PNS,January 2022,2100000904,50,CPLF,Finished Coil Plate, 35 ," 375,289 "
PSC,January 2022,1000000041,10,PLTF,Finished Baby Plate, 16 ," 219,855 "
PT. BPU,January 2022,2100000349,10,SWPF,Finished Spiral Welded Pipe, 165 ," 6,276,697 "
FSC,January 2022,1200000019,1730,PLTF,Finished Baby Plate," 5,940 ", - 
FSC,January 2022,1200000026,870,PLTF,Finished Baby Plate, 352 , - 
FSC,January 2022,1200000006,1180,PLTF,Finished Baby Plate," 5,040 ", - 
PT. HJT,January 2022,2100000756,20,RBMF-0000000013,IWF-JIS G 3101 SS 400 200x100x12000, 25 ," 105,253 "
PT. SJA,January 2022,2100001414,70,EPBF-0000000076,"JIS G 3445 STKM 11A 4""(114.3)x3x6000", 100 ," 77,934 "
PT. HJT,January 2022,2100001030,20,RBMF-0000000013,IWF-JIS G 3101 SS 400 200x100x12000, 4 ," 16,727 "
FSC,January 2022,1200000004,20,HRCF,Finished Hot Rolled Coil, 2 , - 
